Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/Library-HIVIND93Logic.json	1097	7	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	126	29	0	0	0	0	5	0	0
fsh-generated/resources/Library-HIVIND94Logic.json	1115	8	0	0	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	201	33	0	0	0	0	9	0	0
fsh-generated/resources/Library-HIVIND95Logic.json	1077	7	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	182	33	0	0	0	0	8	0	0
fsh-generated/resources/Library-HIVIND96Logic.json	1077	7	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	278	37	0	0	0	0	13	0	0
fsh-generated/resources/Library-HIVIND9Logic.json	1121	7	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	93	27	0	0	0	0	3	0	0
fsh-generated/resources/Library-HIVIndicatorElements.json	1090	8	0	0	1	0	0	0	10	93	0	0	0	0	0	0	0	2	0	0	18758	1229	0	0	0	0	845	0	1
fsh-generated/resources/Library-WHOCommon.json	1024	9	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	1197	89	0	0	0	0	63	0	0
fsh-generated/resources/Library-WHOConcepts.json	1036	8	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	63	25	0	0	0	0	2	0	0
fsh-generated/resources/Library-WHOElements.json	1036	8	0	0	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	78	25	0	0	0	0	2	0	0
fsh-generated/resources/Library-WHOEncounterElements.json	1090	7	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	79	26	0	0	0	0	3	0	0
fsh-generated/resources/Measure-HIVIND11.json	3277	8	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	31	25	0	0	0	0	1	0	0
fsh-generated/resources/Measure-HIVIND12.json	3451	7	1	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	31	46	0	0	0	0	0	0	0
fsh-generated/resources/Measure-HIVIND13.json	3357	7	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	31	48	0	0	0	0	0	0	0
fsh-generated/resources/Measure-HIVIND14.json	3490	8	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	31	48	0	0	0	0	0	0	0
fsh-generated/resources/Measure-HIVIND15.json	3954	7	0	0	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	31	48	0	0	0	0	1	0	0
